step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,3.10949492E3,4.06482411E4,-8.35163784E2,3.68764520E2,-5.13280773E1,1.56478368E3
2,1.25340604E-4,4.40366984E3,-7.23835754E3,-1.01940894E3,2.22974706E1,-1.80378208E2,2.66599084E2
3,1.88010920E-4,3.25845004E3,3.01865268E4,-5.77286104E2,7.58721828E2,-4.10222960E1,2.78816488E3
4,2.50681208E-4,1.37785220E3,5.30143356E4,-4.49588204,9.39484216E2,1.39211248E2,3.35123800E3
5,3.13351512E-4,3.96481680E3,2.44078136E4,-1.20884538E3,3.59240244E2,7.69798752E1,1.39248788E3
6,3.76021840E-4,6.05635405E3,9.78732208E3,-2.41415192E3,2.87800336E2,-6.10299587E1,1.20707238E3
7,4.38692140E-4,2.71772552E3,2.79545904E4,-1.11387384E3,6.21624326E2,4.68239352E-1,2.30516124E3
8,5.01362419E-4,5.91387368E2,3.07285023E4,3.34890412E2,5.08745384E2,7.49351980E1,1.71618208E3
9,5.64032744E-4,4.02099896E3,1.41404356E4,-7.40243292E2,3.00188661E2,-3.66938900E1,9.30329418E2
10,6.26703024E-4,5.86924032E3,1.07305360E4,-1.89899848E3,4.12495089E2,-9.12364292E1,1.47513604E3
11,6.89373352E-4,1.92555144E3,1.89444992E4,-9.89098264E2,3.97269104E2,4.17740012E1,1.44586156E3
12,7.52043676E-4,-5.26225090E2,2.13444829E4,-1.56396224E2,1.81541072E2,8.60692120E1,5.36679600E2
13,8.14713955E-4,1.94738576E3,1.50552332E4,-5.08399773E2,1.30541826E2,-4.21986342E1,3.61398768E2
14,8.77384280E-4,3.41668940E3,6.31412554E3,-7.17639064E2,1.42663372E2,-6.39472388E1,5.62475060E2
15,9.40054512E-4,1.18026018E3,6.54890440E3,-5.03827095E2,7.05349207E1,7.19879246E1,2.85169056E2
16,1.00272489E-3,1.66953252E2,1.63220872E4,-5.78087520E2,1.58975600E2,1.20393730E2,4.67586752E2
17,1.06539512E-3,2.34817172E3,1.60044204E4,-8.57278444E2,2.80039672E2,3.95523072,9.62613488E2
18,1.12806547E-3,3.22156190E3,3.50813268E3,-7.57943536E2,7.60742140E1,-7.87221288E1,4.12818098E2
19,1.19073570E-3,1.49973524E3,5.72490928E3,-3.18098498E2,-6.00083971E1,-4.29014158,-1.27565550E2
20,1.25340604E-3,9.68035320E2,2.01897192E4,-1.93797136E2,2.14123178E2,6.02246046E1,6.90490960E2
21,1.31607640E-3,2.74413992E3,1.47752332E4,-5.74697736E2,3.45999528E2,-4.23905182,1.22649360E3
22,1.37874664E-3,3.75836800E3,-1.08172000E3,-9.79123024E2,9.82111072E1,-4.61969708E1,4.91133216E2
23,1.44141696E-3,2.21225548E3,7.10701513E3,-8.81763936E2,8.37595940E1,2.46665264E1,3.58711720E2
