step,si_time,force_x,force_y,force_z,torque_x,torque_y,torque_z
1,6.26703024E-5,2.27261472E1,4.02699280E4,-6.80174400,1.02259207,2.03023028E1,-2.70034360
2,1.25340604E-4,3.45081640E1,-1.44055404E4,-2.20644116E1,3.65423464E1,-1.17865742E1,-3.19158244E1
3,1.88010920E-4,-3.42660904E1,-1.05131960E3,-1.97197464E1,2.55068924E1,-9.36471844E1,-1.26600206E1
4,2.50681208E-4,-3.22191500E1,3.02265120E4,7.72900776,-1.55955160E1,-2.02731681E1,2.58510660E1
5,3.13351512E-4,4.43579196E1,2.48098636E4,7.49759912,-7.38788080,1.10867417E2,1.50888908E1
6,3.76021840E-4,1.50504900E1,3.28464318E3,8.25931740,3.70860032E1,5.87492320E1,-2.91079112E1
7,4.38692140E-4,-6.88229512E1,4.01687574E3,3.38821984E1,3.47255780E1,-1.32768512E2,-3.63328244E1
8,5.01362419E-4,-3.08021832E1,1.60622536E4,1.99350640E1,-7.12502861,-1.57204972E2,-5.30399036
9,5.64032744E-4,5.78708984E1,1.82780656E4,-5.43550252E1,-2.02875710E1,5.09034109E1,1.24435424E1
10,6.26703024E-4,5.82189800E1,9.70625304E3,-6.44190596E1,1.34294140E1,1.74387256E2,-5.41158248E-1
11,6.89373352E-4,-5.67168328,1.75014440E3,1.00309742E1,2.84766504E1,3.23793650E1,-1.38748980E1
12,7.52043676E-4,-2.76629040E1,4.22145128E3,5.64470960E1,2.43764256,-1.39223756E2,-1.07964385E1
13,8.14713955E-4,1.04144907,1.27690602E4,1.31237792E1,-1.25434386E1,-7.73202368E1,-2.69027808
14,8.77384280E-4,2.58760548E1,1.35743916E4,-1.43102432E1,2.93559336E-1,9.10430431E1,5.65582656
15,9.40054512E-4,3.35639620E1,4.87053064E3,4.23203230E1,1.79187928E1,7.40129996E1,-1.09856451
16,1.00272489E-3,1.63362848E1,-3.37552692E2,5.16357946E1,1.94855368E1,-4.17527770E1,-1.74312808E1
17,1.06539512E-3,2.81623336,2.64488532E3,-2.44073676E1,4.14751625,-6.65905188,-1.53492916E1
18,1.12806547E-3,1.49973608E1,7.10415745E3,-4.68140320E1,-1.14785564E1,8.60463808E1,-1.13039613E-1
19,1.19073570E-3,2.18716430E1,8.66312788E3,-1.91010632E1,-1.25615526E1,3.08035922E1,1.06965983E1
20,1.25340604E-3,3.40940596E1,4.94367600E3,2.12101865E1,-5.12393188,-8.97212408E1,-6.13176441E-1
21,1.31607640E-3,5.31005908E1,-2.65019272E3,4.73994160E1,3.04465151,-6.11306906E1,-2.34601568E1
22,1.37874664E-3,5.26021576E1,-2.32000374E3,2.34253932E1,5.56991052,5.66707040E1,-1.29286456E1
23,1.44141696E-3,-4.34492208E-1,8.31451702E3,-1.68283216E1,-3.01311898,3.94230648E1,1.52953468E1
24,1.50408732E-3,-3.28877426E1,9.89216712E3,-8.45350360,-8.07632065,-4.94519616E1,1.31683194E1
25,1.56675756E-3,1.89995232E1,-3.95531536E3,-1.00858128E1,1.71612272,-2.11522555E1,-1.98613928E1
26,1.62942780E-3,4.43665840E1,-9.46728516E3,-4.31368304E1,5.18406010,4.28037024E1,-2.80077032E1
27,1.69209824E-3,-2.06727481E1,4.91116000E3,-3.15978408E1,-7.65178776,5.12710190E-1,2.65060808
28,1.75476848E-3,-2.66417312E1,1.27447796E4,7.94130848,-1.43939436E1,-4.92227552E1,1.95900568E1
29,1.81743888E-3,2.32779288E1,-1.21952498E3,6.37477304,-3.70874144,7.59941340E-1,2.26063610
30,1.88010904E-3,2.68419888E-1,-1.11009812E4,-5.01492977,4.47830008,3.02583099E1,-7.81841896
31,1.94277944E-3,-3.59815264E1,5.05361319E2,1.49841072E1,-1.47189604,-2.44674708E1,8.68943784
32,2.00544977E-3,-5.09493113,1.12677348E4,9.83607384,3.31547690,-4.30427504E1,1.35275484E1
33,2.06812001E-3,3.12440133E1,1.84020864E3,-2.56731032E1,1.62312508E1,2.17074204E1,-1.11891854E1
34,2.13079023E-3,1.89801680E1,-9.41118908E3,-6.78539232,7.35246372,5.17587900E1,-2.23178386E1
35,2.19346070E-3,1.50478088E1,-2.99559640E3,3.76507000E1,-9.52911472,-2.39995932E1,-1.43474244E-1
36,2.25613094E-3,2.34364964E1,7.95534464E3,5.42519188E1,-4.41642140,-7.54469680E1,1.71919432E1
37,2.31880140E-3,1.69836864E1,4.88890888E3,3.27457500E1,1.29704856E1,9.68715288,4.30795670
38,2.38147140E-3,1.33122182E1,-4.74333096E3,2.28344488,1.75200424E1,9.11835003E1,-1.07318902E1
39,2.44414188E-3,1.08295036,-4.45801116E3,1.63790988E1,5.03448630,1.07772827E1,-7.38306092
40,2.50681208E-3,-1.07590747,2.70912336E3,2.70879936E1,-1.26763094,-9.22439098E1,1.96767224
41,2.56948232E-3,1.35343348E1,3.80287480E3,2.71280360E1,1.04146767E1,-1.68695760E1,3.40997364
